peak_id,apex_time,apex_signal,start_time,end_time,width_samples,height,prominence,snr,peak_area,confidence_percent
peak_1,0.7175876984623079,353.1201177281029,0.5448351043880486,0.8836959619952495,51.0,356.145737244026,353.55973968387974,4.132966218920826,51.77028327930734,70.1
peak_2,2.484979622452807,277.38827824384515,2.086319789973747,2.910216777097137,124.0,280.03339744321244,270.130435430686,3.767897818022321,98.51872875115468,77.6
peak_3,4.139417927240905,325.87041685059484,3.800557069633705,4.445057132141518,97.0,331.10112936381245,331.12096044969036,3.9439099541383307,85.7836730095916,80.1
peak_4,5.72076859607451,192.2337435483872,5.60781497687211,5.83372221527691,34.0,197.83346810233306,197.0886517952177,3.4109480862186787,19.393653121017657,34.0
peak_5,6.923392424053008,385.44326517418665,6.7506398299787485,7.109433679209902,54.0,389.1788135237408,389.26748884273263,4.021984406611847,57.27947456979359,76.2
peak_6,8.099438929866235,286.87007433563736,7.780511063882987,8.39843380422553,93.0,285.3072533578279,275.56213279661864,3.829600049545876,72.51328498242896,68.2
peak_7,9.67414526815852,289.7276972804272,9.24890811351419,10.405021627703464,174.0,291.05734983806383,279.40174538774824,3.510649397832713,107.61239374979633,84.8
peak_8,11.162475309413676,360.8314721765508,10.78374846855857,11.481403175396926,105.0,379.57995809055734,377.40961806151444,4.6793699230620796,31.469779297396094,74.7
peak_9,12.458119764970624,272.38160829144454,11.481403175396926,12.697315664458058,183.0,306.7661743792321,289.57930897307205,3.9774735056252988,48.765790054458115,72.2
peak_10,14.28531066383298,233.86360254145566,13.913228153519192,14.697259157394676,118.0,268.965886540078,266.67321126996666,3.7698190807582437,92.77689488594692,74.5
peak_11,15.986259282410304,295.6744121562359,15.647398424803102,16.159011876484563,77.0,325.1331760751809,325.26386177649584,4.327817672084114,48.40013304761235,68.3
peak_12,16.59089336167021,156.50608826244047,16.484584073009128,16.71049131141393,34.0,183.0344038412181,171.46667448977198,3.6459434410643112,17.70764718153186,31.8
peak_13,17.627408926115766,280.567050717866,17.002841855231907,17.972914114264285,146.0,298.7543078299382,294.5292428734711,3.96290504798158,78.13599851688258,77.5
peak_14,18.976208026003253,282.8690860708955,18.89647605950744,19.049295661957743,23.0,285.94542286906545,276.79561477970515,6.593797249248596,15.316272933924871,58.7
peak_15,19.859903987998504,14.933560618123806,19.58748643580448,20.132321540192528,82.0,11.421,11.421,0.0,0.152,5.8
peak_16,20.876486560820105,245.19421761122362,20.497759719965,21.102393799224902,91.0,232.76378571949505,224.7566134435727,6.456187570046905,12.637638070310873,56.1
