peak_id,apex_time,apex_signal,start_time,end_time,width_samples,height,prominence,snr,peak_area,confidence_percent
peak_1,0.59458432304038,0.6291658140250468,0.4783497937242155,0.7085835729466183,103.0,0.6291658140250468,0.6291658140250468,3.9263147408072085,0.04926995072453844,16.0
peak_2,2.617512189023628,300.64738020333084,2.3984548068508564,2.8388048506063255,197.0,300.64738020333084,300.64738020333084,3.7293062830509567,44.84020615817586,67.5
peak_3,3.6569171146393296,0.0,3.5540942617827227,3.759739967495937,92.0,0.0,0.0,0.068,0.0,1.1
peak_4,5.123260407550943,255.37365125308136,4.736557069633704,5.509963745468183,346.0,255.3709778202537,255.37112486441723,3.8585824282756627,67.24005076850842,78.4
peak_5,7.982182772846605,254.78238488584208,7.430068758594824,8.53876734591824,496.0,254.2009635637932,254.2033613632478,3.8181873508979156,96.80093827633779,95.3
peak_6,9.46640830103763,0.0,9.363585448181022,9.569231153894236,92.0,0.0,0.0,0.09,0.0,1.1
peak_7,10.579577447180897,2.153949597316781,10.474519314914364,10.682400300037504,93.0,2.153949597316781,2.153949597316781,4.376490612344793,0.14962376145398376,18.9
peak_8,11.20769096137017,2.153954695755976,11.104868108513564,11.312749093636704,93.0,2.153954695755976,2.153954695755976,4.267109277779183,0.14987738013667146,18.1
peak_9,11.786628328541067,4.308260342442015,11.68380547568446,11.8916864608076,93.0,4.308260342442015,4.308260342442015,4.297616673693248,0.2996393832477894,18.6
peak_10,12.269448681085136,2.1538839189778747,12.166625828228527,12.374506813351669,93.0,2.1538839189778747,2.1538839189778747,4.276295007775805,0.14965516552521915,18.1
peak_11,13.594969371171397,4.3096641533908455,13.492146518314788,13.697792224028003,92.0,4.3096641533908455,4.3096641533908455,4.399048534317016,0.30002665646279175,19.3
peak_12,15.46589823727966,343.5941255125699,15.418957369671208,15.515074384298037,43.0,343.5941255125699,343.5941255125699,3.8596409781189083,11.985465416469895,54.9
peak_13,17.200475059382423,1.0771946123483165,17.097652206525815,17.303297912239028,92.0,1.0771946123483165,1.0771946123483165,4.413032880810556,0.07482276939289237,18.9
